process_id,customer_id,point_id,starting_timestamp,fully_charge_timestamp
1,787878,525,23/10/2022.14:05:49,23/10/2022.14:45:49
2,878787,525,23/10/2022.14:05:49,23/10/2022.15:05:49
3,878788,526,23/10/2022.15:05:50,23/10/2022.14:05:50
4,878789,527,23/10/2022.21:05:50,null
5,878790,528,23/10/2022.21:05:50,null
6,878791,529,23/10/2022.21:05:51,null
7,878792,530,23/10/2022.21:05:52,null
8,878793,531,23/10/2022.21:05:53,null
9,878794,532,23/10/2022.21:05:54,null
10,878795,525,23/10/2022.21:05:55,null
11,878796,525,23/10/2022.21:05:56,null
12,878797,526,23/10/2022.21:05:57,null
13,878798,527,23/10/2022.21:05:58,null
14,878799,528,23/10/2022.21:06:00,null
15,878800,529,23/10/2022.21:06:01,null
16,878801,530,23/10/2022.21:06:02,null
17,878802,531,23/10/2022.21:06:03,null
18,878803,532,23/10/2022.21:06:04,null
19,878804,525,23/10/2022.21:06:05,null
20,878805,525,23/10/2022.21:06:06,null
21,878806,526,23/10/2022.21:06:07,null
22,878807,527,23/10/2022.21:06:08,null
23,878808,528,23/10/2022.21:06:09,null
24,878809,531,23/10/2022.21:06:10,null
25,787878,530,23/10/2022.21:06:11,null
26,878787,531,23/10/2022.21:06:12,null
27,878788,532,23/10/2022.21:06:13,null
28,878809,527,23/10/2022.21:06:14,null
29,878810,527,23/10/2022.21:06:15,null
30,878811,531,23/10/2022.21:06:16,null
31,878812,532,23/10/2022.21:06:17,null
32,878813,532,23/10/2022.21:06:18,null
33,878814,525,23/10/2022.21:06:19,null
34,878815,525,23/10/2022.21:06:20,null
35,878816,525,23/10/2022.21:06:21,null
